Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Goal,Region,Food_Type 
22,Male,170,65,22.5,Moderate,Maintain,North India,Balanced North Indian Diet 
28,Female,160,75,29.3,Low,Weight Loss,South India,Low Carb South Indian Diet 
35,Male,175,90,29.4,Low,Weight Loss,West India,Low Carb Indian Diet 
25,Female,165,50,18.4,High,Weight Gain,East India,High Protein Bengali Diet 
30,Male,180,70,21.6,Moderate,Maintain,South India,Balanced South Indian Diet 
40,Female,155,85,35.4,Low,Weight Loss,North India,Low Calorie North Indian Diet 
27,Male,172,60,20.3,High,Weight Gain,West India,High Protein Gujarati Diet 
32,Female,168,68,24.1,Moderate,Maintain,East India,Balanced Bengali Diet 
45,Male,169,95,33.2,Low,Weight Loss,South India,Low Carb South Indian Diet 
23,Female,162,52,19.8,High,Weight Gain,North India,High Protein North Indian Diet 
